SnmpWalk v1.01 - Copyright (C) 2009 SnmpSoft Company
[ More useful network tools on http://www.snmpsoft.com ]

OID=.1.0.8802.1.1.2.1.2.6.1.2.33, Type=Counter32, Value=3270
OID=.1.0.8802.1.1.2.1.2.6.1.2.34, Type=Counter32, Value=3270
OID=.1.0.8802.1.1.2.1.2.6.1.2.35, Type=Counter32, Value=3270
OID=.1.0.8802.1.1.2.1.2.6.1.2.36, Type=Counter32, Value=3270
OID=.1.0.8802.1.1.2.1.2.6.1.2.37, Type=Counter32, Value=3270
OID=.1.0.8802.1.1.2.1.2.6.1.2.38, Type=Counter32, Value=3270
OID=.1.0.8802.1.1.2.1.2.6.1.2.39, Type=Counter32, Value=3270
OID=.1.0.8802.1.1.2.1.2.6.1.2.40, Type=Counter32, Value=3270
OID=.1.0.8802.1.1.2.1.2.6.1.2.41, Type=Counter32, Value=3270
OID=.1.0.8802.1.1.2.1.2.6.1.2.42, Type=Counter32, Value=3270
OID=.1.0.8802.1.1.2.1.2.6.1.2.43, Type=Counter32, Value=3270
OID=.1.0.8802.1.1.2.1.2.6.1.2.44, Type=Counter32, Value=3270
OID=.1.0.8802.1.1.2.1.2.6.1.2.45, Type=Counter32, Value=3270
OID=.1.0.8802.1.1.2.1.2.6.1.2.46, Type=Counter32, Value=3270
OID=.1.0.8802.1.1.2.1.2.6.1.2.47, Type=Counter32, Value=3270
OID=.1.0.8802.1.1.2.1.2.6.1.2.48, Type=Counter32, Value=3270
OID=.1.0.8802.1.1.2.1.2.6.1.2.49, Type=Counter32, Value=3270
OID=.1.0.8802.1.1.2.1.2.6.1.2.50, Type=Counter32, Value=3270
OID=.1.0.8802.1.1.2.1.2.6.1.2.51, Type=Counter32, Value=3270
OID=.1.0.8802.1.1.2.1.2.6.1.2.52, Type=Counter32, Value=3270
OID=.1.0.8802.1.1.2.1.2.7.1.2.1, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.2.2, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.2.3, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.2.4, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.2.5, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.2.6, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.2.7, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.2.8, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.2.9, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.2.10, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.2.11, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.2.12, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.2.13, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.2.14, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.2.15, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.2.16, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.2.17, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.2.18, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.2.19, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.2.20, Type=Counter32, Value=0
